# Temp_mean_R,Temp_mean_S, mass_mean, normalized_mass_mean, masslossrate_mean, normlized_masslossrate_mean, reacr_mean
3.000000000000000000e+01, 3.125370000000000203e+01, 9.475865000000000649e+00, 1.000000000000000000e+00, -3.510000000005675247e-03, -3.704147325870170990e-04, 3.086789438222492521e-05
3.008330000000000126e+01, 3.133469999999999800e+01, 9.475572500000000176e+00, 9.999691321056177751e-01, -3.435000000013843646e-03, -3.624998878744941548e-04, 3.020832398953343656e-05
3.016669999999999874e+01, 3.141260000000000119e+01, 9.475292499999998341e+00, 9.999395833520209331e-01, -3.285000000008864163e-03, -3.466701984471986554e-04, 2.888918320392841466e-05
3.025000000000000000e+01, 3.149577500000000185e+01, 9.475024999999998698e+00, 9.999113537392099182e-01, -3.119999999988465333e-03, -3.292575400755988892e-04, 2.743812833966297049e-05
3.033330000000000126e+01, 3.158204999999999885e+01, 9.474772500000000264e+00, 9.998847070953416072e-01, -2.969999999994143991e-03, -3.134278506494281953e-04, 2.611898755411345974e-05
3.041669999999999874e+01, 3.165967500000000001e+01, 9.474529999999999674e+00, 9.998591157641016913e-01, -2.955000000000040927e-03, -3.118448817073734853e-04, 2.598707347561957093e-05
3.050000000000000000e+01, 3.173924999999999841e+01, 9.474280000000000257e+00, 9.998327329483903680e-01, -2.909999999996415454e-03, -3.070959748789599069e-04, 2.559133123991585990e-05
3.058330000000000126e+01, 3.182029999999999959e+01, 9.474045000000000272e+00, 9.998079331016218596e-01, -2.850000000009345058e-03, -3.007640991096163698e-04, 2.506367492577377121e-05
3.066669999999999874e+01, 3.190342499999999859e+01, 9.473804999999998699e+00, 9.997826055985388205e-01, -2.970000000004802132e-03, -3.134278506505529466e-04, 2.611898755422448204e-05
3.075000000000000000e+01, 3.198725000000000307e+01, 9.473549999999999471e+00, 9.997556951265134106e-01, -3.134999999993226538e-03, -3.308405090187783505e-04, 2.757004241821237045e-05
3.083330000000000126e+01, 3.206459999999999866e+01, 9.473282499999999828e+00, 9.997274655137023958e-01, -3.195000000001613216e-03, -3.371723847903714444e-04, 2.809769873252099259e-05
3.091669999999999874e+01, 3.214589999999999748e+01, 9.473017499999999202e+00, 9.996994997290483687e-01, -3.179999999996852011e-03, -3.355894158471919831e-04, 2.796578465397159263e-05
3.100000000000000000e+01, 3.223037500000000222e+01, 9.472752500000000353e+00, 9.996715339443944526e-01, -3.449999999997288569e-03, -3.640828568154240593e-04, 3.034023806797181422e-05
