# Temp_mean_R,Temp_mean_S, mass_mean, normalized_mass_mean, masslossrate_mean, normlized_masslossrate_mean, reacr_mean
3.433330000000000126e+01, 3.467502499999999799e+01, 9.614532500000001036e+00, 9.989412681768229385e-01, -2.759999999999429576e-03, -2.867615144228241228e-04, 9.558717147428730243e-05
3.466669999999999874e+01, 3.502629999999999200e+01, 9.613604999999999734e+00, 9.988449017621028325e-01, -2.805000000003055050e-03, -2.914369738974869673e-04, 9.714565796581364765e-05
3.500000000000000000e+01, 3.536204999999999643e+01, 9.612662499999999000e+00, 9.987469768608913112e-01, -2.838750000000445084e-03, -2.949435685029303715e-04, 9.831452283431962869e-05
3.533330000000000126e+01, 3.571065000000000111e+01, 9.611712499999999437e+00, 9.986482727164341933e-01, -2.909999999999079989e-03, -3.023463793370749302e-04, 1.007821264457087196e-04
3.566669999999999874e+01, 3.605347499999999883e+01, 9.610722499999999613e+00, 9.985454126079998938e-01, -2.977499999999189129e-03, -3.093595685485154949e-04, 1.031198561828317040e-04
3.600000000000000000e+01, 3.639760000000000417e+01, 9.609727499999999978e+00, 9.984420330040685299e-01, -2.992499999998621263e-03, -3.109180550398852271e-04, 1.036393516799516412e-04
3.633330000000000126e+01, 3.673905000000000598e+01, 9.608727500000000532e+00, 9.983381339046399905e-01, -3.003749999999527631e-03, -3.120869199085509111e-04, 1.040289733028609831e-04
3.666669999999999874e+01, 3.708965000000000600e+01, 9.607725000000000293e+00, 9.982339750574628079e-01, -3.075000000000827072e-03, -3.194897307429723208e-04, 1.064965769143055851e-04
3.700000000000000000e+01, 3.743229999999999791e+01, 9.606677499999999981e+00, 9.981251407508113793e-01, -3.146249999999461977e-03, -3.268925415771168795e-04, 1.089641805256946760e-04
3.733330000000000126e+01, 3.777002499999999685e+01, 9.605627500000000651e+00, 9.980160466964114185e-01, -3.146250000002126512e-03, -3.268925415773937305e-04, 1.089641805258056984e-04
3.766669999999999874e+01, 3.811127500000000623e+01, 9.604579999999998563e+00, 9.979072123897597679e-01, -3.157500000000368345e-03, -3.280614064457825635e-04, 1.093538021486040179e-04
3.800000000000000000e+01, 3.845459999999999923e+01, 9.603522500000000406e+00, 9.977973390921142105e-01, -3.213749999996906581e-03, -3.339057307882805931e-04, 1.113019102627621493e-04
3.833330000000000126e+01, 3.879919999999999902e+01, 9.602437500000000625e+00, 9.976846085692342436e-01, -3.266250000000248122e-03, -3.393604335086282766e-04, 1.131201445028762187e-04
3.866669999999999874e+01, 3.913300000000000267e+01, 9.601345000000000240e+00, 9.975710988031084581e-01, -3.273750000002628724e-03, -3.401396767545899666e-04, 1.133798922515194540e-04
3.900000000000000000e+01, 3.947342499999999887e+01, 9.600254999999998873e+00, 9.974578487847312047e-01, -3.288749999999396323e-03, -3.416981632456828478e-04, 1.138993877485283690e-04
3.933330000000000126e+01, 3.980805000000000149e+01, 9.599152500000000643e+00, 9.973433000276114013e-01, -3.378749999998653664e-03, -3.510490821941779837e-04, 1.170163607314145260e-04
3.966669999999999874e+01, 4.014670000000000272e+01, 9.598002499999999770e+00, 9.972238160632683757e-01, -3.487500000001197975e-03, -3.623481092573004937e-04, 1.207827030857977491e-04
4.000000000000000000e+01, 4.048250000000000171e+01, 9.596827499999999844e+00, 9.971017346214398058e-01, -3.558749999999832880e-03, -3.697509200914450523e-04, 1.232503066971313288e-04
4.033330000000000126e+01, 4.082242499999999552e+01, 9.595629999999999882e+00, 9.969773154498741130e-01, -3.622499999998751719e-03, -3.763744876799047720e-04, 1.254581625599326955e-04
4.066669999999999874e+01, 4.115570000000000306e+01, 9.594412500000000676e+00, 9.968508182963199404e-01, -3.712500000000673595e-03, -3.857254066286767047e-04, 1.285751355428743636e-04
4.100000000000000000e+01, 4.149452499999999588e+01, 9.593154999999999433e+00, 9.967201651787883643e-01, -3.772500000003731202e-03, -3.919593525947092814e-04, 1.306531175315761573e-04
