# Temp_mean_R,Temp_mean_S, mass_mean, normalized_mass_mean, masslossrate_mean, normlized_masslossrate_mean, reacr_mean
3.141669999999999874e+01, 3.284797499999999815e+01, 2.741542499999999993e+00, 9.998997015665703758e-01, -1.289999999999125180e-03, -4.704908331787674642e-04, 3.920756943159853236e-05
3.150000000000000000e+01, 3.291559999999999775e+01, 2.741432500000000161e+00, 9.998595821931985927e-01, -1.409999999999911324e-03, -5.142574223119925113e-04, 4.285478519266971986e-05
3.158330000000000126e+01, 3.299030000000000484e+01, 2.741307500000000008e+00, 9.998139919961850364e-01, -1.605000000003187210e-03, -5.853781296542119594e-04, 4.878151080450754407e-05
3.166669999999999874e+01, 3.305417500000000075e+01, 2.741164999999999630e+00, 9.997620191715895777e-01, -1.665000000000915747e-03, -6.072614242198527126e-04, 5.060511868498762666e-05
3.175000000000000000e+01, 3.312430000000000518e+01, 2.741029999999999855e+00, 9.997127817588150611e-01, -1.664999999998251212e-03, -6.072614242188808338e-04, 5.060511868487660436e-05
3.183330000000000126e+01, 3.319547500000000184e+01, 2.740887499999999921e+00, 9.996608089342198245e-01, -1.724999999998644284e-03, -6.291447187854933574e-04, 5.242872656541219811e-05
3.191669999999999874e+01, 3.326950000000000074e+01, 2.740742500000000081e+00, 9.996079243056842367e-01, -1.634999999999386944e-03, -5.963197769360605114e-04, 4.969331474469207421e-05
3.200000000000000000e+01, 3.333644999999999925e+01, 2.740615000000000023e+00, 9.995614223047304403e-01, -1.470000000002968932e-03, -5.361407168795768053e-04, 4.467839307331633592e-05
3.208330000000000126e+01, 3.341702500000000242e+01, 2.740497499999999587e+00, 9.995185675195376040e-01, -1.335000000000086118e-03, -4.869033041039698266e-04, 4.057527534201410546e-05
3.216669999999999874e+01, 3.349760000000000559e+01, 2.740392500000000009e+00, 9.994802717540464121e-01, -1.214999999999299973e-03, -4.431367149707447794e-04, 3.692805958088740681e-05
3.225000000000000000e+01, 3.356642499999999529e+01, 2.740294999999999703e+00, 9.994447114003758292e-01, -1.050000000000217426e-03, -3.829576549132892487e-04, 3.191313790945615736e-05
3.233330000000000126e+01, 3.364952499999999702e+01, 2.740217499999999973e+00, 9.994164454782274998e-01, -9.599999999956310148e-04, -3.501327130619128077e-04, 2.917772608851398886e-05
3.241669999999999874e+01, 3.372632500000000277e+01, 2.740135000000000431e+00, 9.993863559481988013e-01, -9.450000000015279511e-04, -3.446618894224462415e-04, 2.872182411850499051e-05
3.250000000000000000e+01, 3.379939999999999856e+01, 2.740059999999999718e+00, 9.993590018299904898e-01, -8.550000000022706104e-04, -3.118369475730133956e-04, 2.598641229772935546e-05
3.258330000000000126e+01, 3.387457500000000010e+01, 2.739992500000000053e+00, 9.993343831236033425e-01, -7.049999999999556621e-04, -2.571287111559962557e-04, 2.142739259636261551e-05
3.266669999999999874e+01, 3.395547499999999985e+01, 2.739942499999999725e+00, 9.993161470447977646e-01, -6.150000000006983214e-04, -2.243037693065633826e-04, 1.869198077553146931e-05
3.275000000000000000e+01, 3.403139999999999787e+01, 2.739889999999999937e+00, 9.992969991620522796e-01, -6.300000000001304556e-04, -2.297745929479735709e-04, 1.914788274565148996e-05
3.283330000000000126e+01, 3.411444999999999794e+01, 2.739837499999999704e+00, 9.992778512793064616e-01, -6.449999999968980546e-04, -2.352454165884119346e-04, 1.960378471571599945e-05
3.291669999999999874e+01, 3.419675000000000153e+01, 2.739782500000000454e+00, 9.992577915926208476e-01, -7.349999999988199306e-04, -2.680703584388165780e-04, 2.233919653654714566e-05
3.300000000000000000e+01, 3.426989999999999981e+01, 2.739714999999999900e+00, 9.992331728862333673e-01, -6.750000000037559289e-04, -2.461870638741477037e-04, 2.051558865617808536e-05
3.308330000000000126e+01, 3.435170000000000101e+01, 2.739669999999999828e+00, 9.992167604153084914e-01, -6.300000000001304556e-04, -2.297745929479735709e-04, 1.914788274565148996e-05
3.316669999999999874e+01, 3.443334999999999724e+01, 2.739609999999999879e+00, 9.991948771207420643e-01, -7.199999999993877964e-04, -2.625995347974064168e-04, 2.188329456648263616e-05
3.325000000000000000e+01, 3.450542500000000246e+01, 2.739549999999999930e+00, 9.991729938261755262e-01, -6.900000000005235279e-04, -2.516578875145860403e-04, 2.097149062624259486e-05
3.333330000000000126e+01, 3.458759999999999479e+01, 2.739494999999999791e+00, 9.991529341394895791e-01, -7.049999999972911269e-04, -2.571287111550244310e-04, 2.142739259625159320e-05
3.341669999999999874e+01, 3.466830000000000211e+01, 2.739432500000000381e+00, 9.991301390409830230e-01, -6.900000000005235279e-04, -2.516578875145860403e-04, 2.097149062618708371e-05
