# Temp_mean_R,Temp_mean_S, mass_mean, normalized_mass_mean, masslossrate_mean, normlized_masslossrate_mean, reacr_mean
3.150000000000000000e+01, 3.268947499999999451e+01, 8.538495000000001056e+00, 9.998442591036702520e-01, -1.439999999998775593e-03, -1.686217223419420768e-04, 1.405181019514811780e-05
3.158330000000000126e+01, 3.276359999999999673e+01, 8.538375000000000270e+00, 9.998302072934749374e-01, -1.364999999996285851e-03, -1.598393409696669150e-04, 1.331994508080303063e-05
3.166669999999999874e+01, 3.283585000000000065e+01, 8.538267500000001675e+00, 9.998176192135086460e-01, -1.304999999998557314e-03, -1.528134358723460173e-04, 1.273445298932696090e-05
3.175000000000000000e+01, 3.291867500000000035e+01, 8.538157500000000510e+00, 9.998047383874962835e-01, -1.320000000013976660e-03, -1.545699121485483065e-04, 1.288082601241802294e-05
3.183330000000000126e+01, 3.299807500000000005e+01, 8.538047499999999346e+00, 9.997918575614838099e-01, -1.260000000005589982e-03, -1.475440070499793566e-04, 1.229533392083093091e-05
3.191669999999999874e+01, 3.307834999999999326e+01, 8.537947499999999579e+00, 9.997801477196546216e-01, -1.094999999995849294e-03, -1.282227680304747690e-04, 1.068523066916071684e-05
3.200000000000000000e+01, 3.315712499999999352e+01, 8.537865000000000038e+00, 9.997704871001454885e-01, -1.079999999991088089e-03, -1.264662917555205320e-04, 1.053885764629169941e-05
3.208330000000000126e+01, 3.323539999999999850e+01, 8.537767500000001064e+00, 9.997590700043620382e-01, -1.110000000000610498e-03, -1.299792443054290331e-04, 1.083160369214075658e-05
3.216669999999999874e+01, 3.331094999999999828e+01, 8.537679999999999936e+00, 9.997488238927612070e-01, -1.020000000004017693e-03, -1.194403866594476594e-04, 9.953365554982163133e-06
3.225000000000000000e+01, 3.339484999999999815e+01, 8.537597500000000394e+00, 9.997391632732520739e-01, -8.400000000001739409e-04, -9.836267136623688700e-05, 8.196889280498442787e-06
3.233330000000000126e+01, 3.348497500000000571e+01, 8.537539999999999907e+00, 9.997324301142002101e-01, -8.250000000060708771e-04, -9.660619509253068869e-05, 8.050516257684936505e-06
3.241669999999999874e+01, 3.355470000000000397e+01, 8.537459999999999383e+00, 9.997230622407367040e-01, -9.600000000062891559e-04, -1.124144815621267482e-04, 9.367873463506093401e-06
3.250000000000000000e+01, 3.363072499999999820e+01, 8.537379999999998859e+00, 9.997136943672731979e-01, -8.699999999990382094e-04, -1.018756239148973358e-04, 8.489635326236477653e-06
3.258330000000000126e+01, 3.371452500000000185e+01, 8.537314999999999543e+00, 9.997060829700842310e-01, -7.349999999881617896e-04, -8.606733744405321059e-05, 7.172278120359809606e-06
3.266669999999999874e+01, 3.380117500000000064e+01, 8.537257500000000832e+00, 9.996993498110324783e-01, -7.799999999917872628e-04, -9.133676626766792353e-05, 7.611397189022373055e-06
3.275000000000000000e+01, 3.387794999999999845e+01, 8.537185000000000912e+00, 9.996908601757061863e-01, -8.999999999979024778e-04, -1.053885764635577982e-04, 8.782381371974512518e-06
3.283330000000000126e+01, 3.396099999999999852e+01, 8.537107500000001181e+00, 9.996817850482885293e-01, -1.020000000004017693e-03, -1.194403866594476594e-04, 9.953365554926651981e-06
3.291669999999999874e+01, 3.404567500000000280e+01, 8.537015000000000242e+00, 9.996709534445963330e-01, -1.125000000016029844e-03, -1.317357205816313223e-04, 1.097797671512079631e-05
3.300000000000000000e+01, 3.412622500000000514e+01, 8.536919999999998510e+00, 9.996598290948582877e-01, -1.034999999998120757e-03, -1.211968629331538713e-04, 1.009973857774015826e-05
3.308330000000000126e+01, 3.421212500000000034e+01, 8.536842500000000555e+00, 9.996507539674408527e-01, -8.999999999872443368e-04, -1.053885764623097460e-04, 8.782381371863490216e-06
3.316669999999999874e+01, 3.429840000000000089e+01, 8.536770000000000636e+00, 9.996422643321145607e-01, -8.849999999931412731e-04, -1.036321001886035342e-04, 8.636008349049983934e-06
3.325000000000000000e+01, 3.437659999999999627e+01, 8.536695000000001698e+00, 9.996334819507427527e-01, -8.699999999990382094e-04, -1.018756239148973358e-04, 8.489635326236477653e-06
3.333330000000000126e+01, 3.445582500000000437e+01, 8.536625000000000796e+00, 9.996252850614620877e-01, -8.100000000119678134e-04, -9.484971881882447683e-05, 7.904143234926941375e-06
3.341669999999999874e+01, 3.453692499999999654e+01, 8.536559999999999704e+00, 9.996176736642728988e-01, -6.750000000010913936e-04, -7.904143234798035158e-05, 6.586786028994762177e-06
3.350000000000000000e+01, 3.462532500000000368e+01, 8.536512500000000614e+00, 9.996121114894040982e-01, -5.849999999938404471e-04, -6.850257470075093926e-05, 5.708547891725146428e-06
3.358330000000000126e+01, 3.470789999999999509e+01, 8.536462500000000730e+00, 9.996062565684894485e-01, -5.400000000008731149e-04, -6.323314587838429210e-05, 5.269428823229116432e-06
3.366669999999999874e+01, 3.478815000000000168e+01, 8.536422500000000468e+00, 9.996015726317576400e-01, -5.850000000044985882e-04, -6.850257470199899148e-05, 5.708547891836168731e-06
3.375000000000000000e+01, 3.487180000000000035e+01, 8.536364999999999981e+00, 9.995948394727057762e-01, -6.600000000069883299e-04, -7.728495607427415327e-05, 6.440413006181255895e-06
3.383330000000000126e+01, 3.494932500000000175e+01, 8.536312499999999304e+00, 9.995886918057452775e-01, -6.150000000033628567e-04, -7.201552725065945388e-05, 6.001293937574203596e-06
3.391669999999999874e+01, 3.503679999999999950e+01, 8.536262499999999420e+00, 9.995828368848306278e-01, -6.750000000010913936e-04, -7.904143234798035158e-05, 6.586786028994762177e-06
3.400000000000000000e+01, 3.512222500000000025e+01, 8.536199999999999122e+00, 9.995755182336872879e-01, -7.499999999929229944e-04, -8.782381371900747468e-05, 7.318651143228827038e-06
3.408330000000000126e+01, 3.520964999999999634e+01, 8.536137500000000600e+00, 9.995681995825441701e-01, -7.799999999917872628e-04, -9.133676626766792353e-05, 7.611397188966861904e-06
3.416669999999999874e+01, 3.528567499999999768e+01, 8.536070000000000491e+00, 9.995602954393093542e-01, -8.400000000108320819e-04, -9.836267136748493923e-05, 8.196889280609465089e-06
3.425000000000000000e+01, 3.536762500000000387e+01, 8.535997499999998794e+00, 9.995518058039829512e-01, -8.999999999979024778e-04, -1.053885764635577982e-04, 8.782381371974512518e-06
3.433330000000000126e+01, 3.544729999999999848e+01, 8.535920000000000840e+00, 9.995427306765654052e-01, -9.149999999920055416e-04, -1.071450527372639966e-04, 8.928754394788018800e-06
3.441669999999999874e+01, 3.553425000000000011e+01, 8.535845000000000127e+00, 9.995339482951933752e-01, -7.200000000153750079e-04, -8.431086117284311674e-05, 7.025905097712836778e-06
3.450000000000000000e+01, 3.561270000000000380e+01, 8.535799999999998278e+00, 9.995286788663699795e-01, -5.549999999949761786e-04, -6.498962215209049041e-05, 5.415801845987111562e-06
3.458330000000000126e+01, 3.570029999999999859e+01, 8.535752500000000964e+00, 9.995231166915014009e-01, -5.549999999843180376e-04, -6.498962215084243819e-05, 5.415801845931600411e-06
3.466669999999999874e+01, 3.578637499999999960e+01, 8.535707500000000891e+00, 9.995178472626781163e-01, -4.649999999983833732e-04, -5.445076450610912355e-05, 4.537563708884029268e-06
3.475000000000000000e+01, 3.587274999999999636e+01, 8.535675000000001234e+00, 9.995140415640836329e-01, -3.450000000029262992e-04, -4.039895431146730783e-05, 3.366579525931889805e-06
3.483330000000000126e+01, 3.595470000000000255e+01, 8.535650000000000404e+00, 9.995111141036262525e-01, -3.000000000099589670e-04, -3.512952548910064712e-05, 2.927460457435859809e-06
3.491669999999999874e+01, 3.603532500000000027e+01, 8.535624999999999574e+00, 9.995081866431687612e-01, -2.850000000051977622e-04, -3.337304921414639659e-05, 2.781087434511331224e-06
3.500000000000000000e+01, 3.612109999999999843e+01, 8.535602499999999537e+00, 9.995055519287572299e-01, -2.549999999956753527e-04, -2.986009666423788874e-05, 2.488341388662274056e-06
3.508330000000000126e+01, 3.620624999999999716e+01, 8.535582500000000294e+00, 9.995032099603914366e-01, -3.750000000017905677e-04, -4.391190686012775668e-05, 3.659325571669924670e-06
3.516669999999999874e+01, 3.629087499999999977e+01, 8.535539999999999239e+00, 9.994982332776138900e-01, -5.400000000008731149e-04, -6.323314587838429210e-05, 5.269428823173605281e-06
3.525000000000000000e+01, 3.637180000000000035e+01, 8.535492500000000149e+00, 9.994926711027450894e-01, -5.549999999949761786e-04, -6.498962215209049041e-05, 5.415801846042622714e-06
3.533330000000000126e+01, 3.645174999999999699e+01, 8.535447500000000076e+00, 9.994874016739218048e-01, -6.599999999963301889e-04, -7.728495607302610104e-05, 6.440413006125744744e-06
3.541669999999999874e+01, 3.653397499999999809e+01, 8.535382500000000761e+00, 9.994797902767328379e-01, -6.899999999951944574e-04, -8.079790862168656344e-05, 6.733159051808268458e-06
3.550000000000000000e+01, 3.662265000000000015e+01, 8.535332500000000877e+00, 9.994739353558181882e-01, -5.400000000008731149e-04, -6.323314587838429210e-05, 5.269428823173605281e-06
3.558330000000000126e+01, 3.670802500000000634e+01, 8.535292500000000615e+00, 9.994692514190864907e-01, -5.550000000056343197e-04, -6.498962215333854264e-05, 5.415801846098133865e-06
3.566669999999999874e+01, 3.678770000000000095e+01, 8.535239999999999938e+00, 9.994631037521259920e-01, -7.349999999988199306e-04, -8.606733744530126282e-05, 7.172278120470831908e-06
3.575000000000000000e+01, 3.687520000000000664e+01, 8.535170000000000812e+00, 9.994549068628455490e-01, -7.949999999965484676e-04, -9.309324254262217407e-05, 7.757770211891390488e-06
3.583330000000000126e+01, 3.696000000000000085e+01, 8.535107500000000513e+00, 9.994475882117022092e-01, -7.050000000106138032e-04, -8.255438489788886620e-05, 6.879532074788308194e-06
3.591669999999999874e+01, 3.704399999999999693e+01, 8.535052499999999043e+00, 9.994411477986959724e-01, -6.899999999951944574e-04, -8.079790862168656344e-05, 6.733159051808268458e-06
3.600000000000000000e+01, 3.712675000000000125e+01, 8.534992500000001314e+00, 9.994341218935985927e-01, -8.999999999979024778e-04, -1.053885764635577982e-04, 8.782381371974512518e-06
3.608330000000000126e+01, 3.721597500000000025e+01, 8.534902499999999392e+00, 9.994235830359520234e-01, -1.170000000008997176e-03, -1.370051494039979830e-04, 1.141709578367233746e-05
3.616669999999999874e+01, 3.729632500000000306e+01, 8.534797499999999815e+00, 9.994112877020312480e-01, -1.154999999993577831e-03, -1.352486731277956938e-04, 1.127072276063678657e-05
3.625000000000000000e+01, 3.738215000000000288e+01, 8.534710000000000463e+00, 9.994010415904307498e-01, -9.750000000003922196e-04, -1.141709578358329600e-04, 9.514246486319599683e-06
3.633330000000000126e+01, 3.746457499999999641e+01, 8.534634999999999749e+00, 9.993922592090586088e-01, -8.550000000049351456e-04, -1.001191476411911375e-04, 8.343262303422971371e-06
3.641669999999999874e+01, 3.755247500000000116e+01, 8.534567499999999640e+00, 9.993843550658239039e-01, -7.349999999881617896e-04, -8.606733744405321059e-05, 7.172278120304298454e-06
3.650000000000000000e+01, 3.763187500000000085e+01, 8.534512500000001722e+00, 9.993779146528180002e-01, -7.199999999940587259e-04, -8.431086117034701228e-05, 7.025905097546303324e-06
3.658330000000000126e+01, 3.772107499999999902e+01, 8.534447500000000630e+00, 9.993703032556288113e-01, -8.250000000167290182e-04, -9.660619509377872736e-05, 8.050516257851469959e-06
3.666669999999999874e+01, 3.780035000000000167e+01, 8.534374999999998934e+00, 9.993618136203022972e-01, -7.500000000035811354e-04, -8.782381372025551336e-05, 7.318651143339849341e-06
3.675000000000000000e+01, 3.788635000000000019e+01, 8.534322500000000034e+00, 9.993556659533421316e-01, -6.599999999963301889e-04, -7.728495607302610104e-05, 6.440413006070233592e-06
3.683330000000000126e+01, 3.796784999999999854e+01, 8.534264999999999546e+00, 9.993489327942901568e-01, -6.600000000069883299e-04, -7.728495607427415327e-05, 6.440413006236767046e-06
3.691669999999999874e+01, 3.805594999999999573e+01, 8.534212499999998869e+00, 9.993427851273296580e-01, -6.299999999974659204e-04, -7.377200352436565219e-05, 6.147666960332198727e-06
3.700000000000000000e+01, 3.813735000000000497e+01, 8.534159999999999968e+00, 9.993366374603694924e-01, -6.299999999868077794e-04, -7.377200352311759997e-05, 6.147666960221176424e-06
3.708330000000000126e+01, 3.821809999999999974e+01, 8.534107500000001068e+00, 9.993304897934092157e-01, -5.999999999986016519e-04, -7.025905097570518979e-05, 5.854920914649675012e-06
3.716669999999999874e+01, 3.830615000000000236e+01, 8.534060000000000201e+00, 9.993249276185401930e-01, -5.850000000044985882e-04, -6.850257470199899148e-05, 5.708547891836168731e-06
3.725000000000000000e+01, 3.839107500000000073e+01, 8.534010000000000318e+00, 9.993190726976255434e-01, -6.300000000081240614e-04, -7.377200352561370442e-05, 6.147666960498732180e-06
3.733330000000000126e+01, 3.846604999999999563e+01, 8.533954999999998847e+00, 9.993126322846191956e-01, -5.699999999997373834e-04, -6.674609842704474095e-05, 5.562174868911640147e-06
3.741669999999999874e+01, 3.855355000000000132e+01, 8.533915000000000362e+00, 9.993079483478877201e-01, -4.949999999972476417e-04, -5.796371705476957917e-05, 4.830309754566552982e-06
3.750000000000000000e+01, 3.863617500000000149e+01, 8.533872499999999306e+00, 9.993029716651100625e-01, -3.450000000029262992e-04, -4.039895431146730783e-05, 3.366579525987400956e-06
3.758330000000000126e+01, 3.872259999999999991e+01, 8.533857499999999874e+00, 9.993012151888357453e-01, -1.199999999954570740e-04, -1.405181019464181910e-05, 1.170984182841117160e-06
3.766669999999999874e+01, 3.880892500000000211e+01, 8.533852500000000063e+00, 9.993006296967443802e-01, -5.999999999772853698e-05, -7.025905097320909551e-06, 5.854920914205585802e-07
3.775000000000000000e+01, 3.889247500000000457e+01, 8.533847500000000252e+00, 9.993000442046529042e-01, -1.950000000086049567e-04, -2.283419156816503311e-05, 1.902849297352737779e-06
3.783330000000000126e+01, 3.897469999999999857e+01, 8.533819999999998629e+00, 9.992968239981496748e-01, -4.349999999995191047e-04, -5.093781195744866792e-05, 4.244817663145994402e-06
3.791669999999999874e+01, 3.906090000000000373e+01, 8.533775000000000333e+00, 9.992915545693266122e-01, -5.999999999986016519e-04, -7.025905097570518979e-05, 5.854920914649675012e-06
3.800000000000000000e+01, 3.913864999999999839e+01, 8.533719999999998862e+00, 9.992851141563203754e-01, -1.019999999993359552e-03, -1.194403866581996072e-04, 9.953365554815629679e-06
3.808330000000000126e+01, 3.922975000000000279e+01, 8.533605000000001439e+00, 9.992716478382169809e-01, -1.274999999989034905e-03, -1.493004833224374891e-04, 1.244170694353341489e-05
3.816669999999999874e+01, 3.931267499999999870e+01, 8.533507500000000690e+00, 9.992602307424333086e-01, -1.080000000012404371e-03, -1.264662917580166364e-04, 1.053885764651374402e-05
3.825000000000000000e+01, 3.939067500000000166e+01, 8.533424999999999372e+00, 9.992505701229239534e-01, -8.999999999979024778e-04, -1.053885764635577982e-04, 8.782381371974512518e-06
3.833330000000000126e+01, 3.947579999999999245e+01, 8.533357500000001039e+00, 9.992426659796893595e-01, -7.800000000024454039e-04, -9.133676626891597576e-05, 7.611397189077884207e-06
3.841669999999999874e+01, 3.956292499999999990e+01, 8.533294999999998964e+00, 9.992353473285457977e-01, -7.650000000083423402e-04, -8.958028999520977744e-05, 7.465024166264377925e-06
3.850000000000000000e+01, 3.964124999999999943e+01, 8.533229999999999649e+00, 9.992277359313568308e-01, -8.249999999954127361e-04, -9.660619509128263646e-05, 8.050516257629425354e-06
3.858330000000000126e+01, 3.972455000000000069e+01, 8.533157499999999729e+00, 9.992192462960305388e-01, -8.850000000037994141e-04, -1.036321001898515864e-04, 8.636008349161006237e-06
3.866669999999999874e+01, 3.981750000000000256e+01, 8.533082499999999015e+00, 9.992104639146585088e-01, -8.400000000001739409e-04, -9.836267136623688700e-05, 8.196889280498442787e-06
3.875000000000000000e+01, 3.989215000000000089e+01, 8.533017499999999700e+00, 9.992028525174695419e-01, -7.649999999976841991e-04, -8.958028999396172522e-05, 7.465024166153355623e-06
3.883330000000000126e+01, 3.998432499999999834e+01, 8.532954999999999401e+00, 9.991955338663262021e-01, -6.299999999974659204e-04, -7.377200352436565219e-05, 6.147666960387709878e-06
3.891669999999999874e+01, 4.006165000000000020e+01, 8.532912500000000122e+00, 9.991905571835487665e-01, -4.349999999888609636e-04, -5.093781195620061570e-05, 4.244817663034972099e-06
3.900000000000000000e+01, 4.014187499999999886e+01, 8.532882500000001258e+00, 9.991870442310001321e-01, -4.349999999995191047e-04, -5.093781195744866792e-05, 4.244817663090483251e-06
3.908330000000000126e+01, 4.022514999999999930e+01, 8.532840000000000202e+00, 9.991820675482225855e-01, -4.650000000090415142e-04, -5.445076450735717577e-05, 4.537563708939540419e-06
3.916669999999999874e+01, 4.031104999999999450e+01, 8.532804999999999751e+00, 9.991779691035822530e-01, -5.850000000044985882e-04, -6.850257470199899148e-05, 5.708547891836168731e-06
