# Temp_mean_R,Temp_mean_S, mass_mean, normalized_mass_mean, masslossrate_mean, normlized_masslossrate_mean, reacr_mean
3.033329999999999771e+01, 3.079389999999999716e+01, 2.755009999999999959e+00, 9.975787830910707310e-01, 2.509999999999790177e-03, 9.088615814673552335e-04, -6.059077209782381956e-04
3.100000000000000000e+01, 3.113223333333333542e+01, 2.756683333333333152e+00, 9.981846908120489692e-01, 2.305000000000112514e-03, 8.346318507101717528e-04, -5.564212338067808794e-04
3.166670000000000229e+01, 3.148606666666666953e+01, 2.758083333333333442e+00, 9.986916255586842928e-01, 1.975000000000282085e-03, 7.151400890033597635e-04, -4.767600593355569849e-04
3.233330000000000126e+01, 3.194573333333333309e+01, 2.759316666666666862e+00, 9.991382109307200832e-01, 1.452499999999523617e-03, 5.259447996338688629e-04, -3.506298664225915296e-04
3.300000000000000000e+01, 3.247653333333333592e+01, 2.760019999999999474e+00, 9.993928852915294758e-01, 1.075000000000048139e-03, 3.892534661663474890e-04, -2.595023107775928928e-04
3.366669999999999874e+01, 3.307856666666666712e+01, 2.760750000000000259e+00, 9.996572155522752690e-01, 9.675000000003430856e-04, 3.503281195498212795e-04, -2.335520796998835635e-04
3.433330000000000126e+01, 3.371606666666666996e+01, 2.761309999999999931e+00, 9.998599894509292429e-01, 7.099999999999884182e-04, 2.570883357935719736e-04, -1.713922238623655225e-04
3.500000000000000000e+01, 3.437860000000000582e+01, 2.761696666666666911e+00, 1.000000000000000000e+00, 1.874999999998960831e-04, 6.789304642432226740e-05, -4.526203094951108952e-05
3.566669999999999874e+01, 3.507316666666667260e+01, 2.761559999999999793e+00, 9.999505135128282651e-01, -1.050000000000217426e-04, -3.802010599764941767e-05, 2.534673733178838262e-05
3.633330000000000126e+01, 3.577890000000000015e+01, 2.761556666666666882e+00, 9.999493065253364232e-01, -7.999999999985796251e-05, -2.896769980767545743e-05, 1.931179987174624912e-05
3.700000000000000000e+01, 3.650626666666666864e+01, 2.761453333333333315e+00, 9.999118899130847726e-01, -2.400000000002400213e-04, -8.690309942326758356e-05, 5.793539961551630313e-05
3.766669999999999874e+01, 3.722993333333332799e+01, 2.761236666666666562e+00, 9.998334357261053906e-01, -4.499999999999504396e-04, -1.629433114184458014e-04, 1.086288742789820461e-04
3.833330000000000126e+01, 3.797426666666667217e+01, 2.760853333333333381e+00, 9.996946321645268085e-01, -5.875000000001850964e-04, -2.127315454630613765e-04, 1.418210303086864243e-04
3.900000000000000000e+01, 3.871369999999999578e+01, 2.760453333333332981e+00, 9.995497936654880178e-01, -5.924999999998847855e-04, -2.145420267009355640e-04, 1.430280178006393399e-04
3.966669999999999874e+01, 3.945609999999999928e+01, 2.760063333333333535e+00, 9.994085761289255299e-01, -6.099999999999994316e-04, -2.208787110339173270e-04, 1.472524740225855666e-04
4.033330000000000126e+01, 4.021743333333333226e+01, 2.759639999999999649e+00, 9.992552887174428466e-01, -6.400000000001959677e-04, -2.317415984618860752e-04, 1.544943989745806157e-04
4.100000000000000000e+01, 4.096506666666666518e+01, 2.759209999999999940e+00, 9.990995873309763686e-01, -6.924999999998737721e-04, -2.507516514605901835e-04, 1.671677676404192958e-04
4.166669999999999874e+01, 4.171756666666666291e+01, 2.758716666666666484e+00, 9.989209531821620081e-01, -7.474999999999010214e-04, -2.706669450784123117e-04, 1.804446300522899449e-04
4.233330000000000126e+01, 4.246703333333334029e+01, 2.758213333333333406e+00, 9.987386980708717887e-01, -7.650000000000156675e-04, -2.770036294113940476e-04, 1.846690862742361716e-04
4.300000000000000000e+01, 4.322793333333333266e+01, 2.757696666666666463e+00, 9.985516150096135357e-01, -7.800000000004470024e-04, -2.824350731254990257e-04, 1.882900487503169629e-04
4.366669999999999874e+01, 4.397449999999999903e+01, 2.757173333333332810e+00, 9.983621179733711548e-01, -7.649999999996826006e-04, -2.770036294112734302e-04, 1.846690862741806605e-04
4.433330000000000126e+01, 4.473470000000000368e+01, 2.756676666666666886e+00, 9.981822768370651744e-01, -7.399999999995188205e-04, -2.679512232212995140e-04, 1.786341488141940381e-04
4.500000000000000000e+01, 4.548266666666666680e+01, 2.756186666666666785e+00, 9.980048496757427667e-01, -7.150000000000211742e-04, -2.588988170315667243e-04, 1.725992113543739492e-04
4.566669999999999874e+01, 4.622950000000000159e+01, 2.755723333333333525e+00, 9.978370784143564265e-01, -6.524999999999447908e-04, -2.362678015567524429e-04, 1.575118677045184157e-04
4.633330000000000126e+01, 4.697429999999999950e+01, 2.755316666666666858e+00, 9.976898259403337299e-01, -5.899999999998684075e-04, -2.136367860819381615e-04, 1.424245240546628821e-04
4.700000000000000000e+01, 4.772246666666666215e+01, 2.754936666666667033e+00, 9.975522293662471007e-01, -5.725000000000868283e-04, -2.073001017490769889e-04, 1.382000678327166554e-04
