# time /s ; distance /cm
2.588033676147460938e-03 1.831408739089965820e+01
1.373696327209472656e-02 1.833044290542602539e+01
2.543210983276367188e-02 1.829773187637329102e+01
3.485107421875000000e-02 1.829773187637329102e+01
4.273104667663574219e-02 1.792155504226684570e+01
5.334401130676269531e-02 1.831817626953125000e+01
6.411099433898925781e-02 1.831408739089965820e+01
7.242107391357421875e-02 1.829773187637329102e+01
8.566689491271972656e-02 1.787248849868774414e+01
9.264898300170898438e-02 1.833453178405761719e+01
1.014339923858642578e-01 1.787248849868774414e+01
1.128339767456054688e-01 1.833453178405761719e+01
1.223390102386474609e-01 1.788884401321411133e+01
1.297290325164794922e-01 1.833453178405761719e+01
1.395990848541259766e-01 1.833044290542602539e+01
1.488640308380126953e-01 1.833453178405761719e+01
1.599509716033935547e-01 1.787248849868774414e+01
1.724400520324707031e-01 1.786839962005615234e+01
1.786460876464843750e-01 1.783568859100341797e+01
1.909561157226562500e-01 1.833453178405761719e+01
2.007429599761962891e-01 1.790519952774047852e+01
2.061209678649902344e-01 1.831817626953125000e+01
2.193350791931152344e-01 1.831408739089965820e+01
2.277240753173828125e-01 1.833044290542602539e+01
2.400810718536376953e-01 1.833044290542602539e+01
2.495028972625732422e-01 1.833453178405761719e+01
2.566089630126953125e-01 1.831817626953125000e+01
2.637310028076171875e-01 1.833453178405761719e+01
2.698559761047363281e-01 1.790519952774047852e+01
2.758610248565673828e-01 1.831817626953125000e+01
2.825319766998291016e-01 1.831817626953125000e+01
2.874948978424072266e-01 1.788884401321411133e+01
3.006639480590820312e-01 1.829773187637329102e+01
3.138821125030517578e-01 1.786839962005615234e+01
3.250820636749267578e-01 1.831408739089965820e+01
3.378260135650634766e-01 1.790519952774047852e+01
3.449599742889404297e-01 1.833453178405761719e+01
3.524649143218994141e-01 1.786839962005615234e+01
3.595778942108154297e-01 1.829773187637329102e+01
3.652129173278808594e-01 1.788884401321411133e+01
3.769021034240722656e-01 1.834679841995239258e+01
3.893549442291259766e-01 1.787248849868774414e+01
3.997859954833984375e-01 1.785613298416137695e+01
4.049000740051269531e-01 1.790519952774047852e+01
4.144930839538574219e-01 1.790519952774047852e+01
4.206900596618652344e-01 1.831408739089965820e+01
4.299559593200683594e-01 1.831817626953125000e+01
4.352290630340576172e-01 1.792155504226684570e+01
4.456720352172851562e-01 1.787248849868774414e+01
4.542829990386962891e-01 1.788884401321411133e+01
4.627580642700195312e-01 1.786839962005615234e+01
4.713840484619140625e-01 1.785204410552978516e+01
4.762399196624755859e-01 1.831817626953125000e+01
4.872310161590576172e-01 1.833453178405761719e+01
4.954309463500976562e-01 1.793791055679321289e+01
5.064530372619628906e-01 1.829773187637329102e+01
5.187349319458007812e-01 1.790519952774047852e+01
5.298030376434326172e-01 1.835088729858398438e+01
5.413100719451904297e-01 1.793791055679321289e+01
5.545270442962646484e-01 1.788884401321411133e+01
5.658519268035888672e-01 1.795835494995117188e+01
5.792388916015625000e-01 1.795835494995117188e+01
5.846829414367675781e-01 1.788884401321411133e+01
5.969309806823730469e-01 1.793791055679321289e+01
6.047680377960205078e-01 1.792155504226684570e+01
6.164209842681884766e-01 1.788475513458251953e+01
6.281399726867675781e-01 1.833044290542602539e+01
6.378049850463867188e-01 1.783568859100341797e+01
6.446120738983154297e-01 1.792155504226684570e+01
6.507110595703125000e-01 1.835088729858398438e+01
6.600589752197265625e-01 1.788475513458251953e+01
6.704919338226318359e-01 1.794199943542480469e+01
6.835179328918457031e-01 1.833044290542602539e+01
6.908869743347167969e-01 1.785204410552978516e+01
7.042210102081298828e-01 1.829773187637329102e+01
7.107059955596923828e-01 1.792155504226684570e+01
7.204051017761230469e-01 1.783568859100341797e+01
7.271459102630615234e-01 1.792155504226684570e+01
7.325909137725830078e-01 1.794199943542480469e+01
7.375020980834960938e-01 1.788884401321411133e+01
7.509551048278808594e-01 1.797471046447753906e+01
7.627201080322265625e-01 1.793791055679321289e+01
7.759521007537841797e-01 1.795835494995117188e+01
7.829310894012451172e-01 1.788884401321411133e+01
7.874629497528076172e-01 1.830182075500488281e+01
7.962100505828857422e-01 1.793791055679321289e+01
8.013339042663574219e-01 1.792564392089843750e+01
8.104119300842285156e-01 1.840404272079467773e+01
8.222188949584960938e-01 1.840404272079467773e+01
8.341610431671142578e-01 1.793791055679321289e+01
8.456630706787109375e-01 1.793791055679321289e+01
8.575170040130615234e-01 1.788475513458251953e+01
8.645420074462890625e-01 1.786839962005615234e+01
8.777289390563964844e-01 1.785613298416137695e+01
8.834249973297119141e-01 1.795835494995117188e+01
8.886439800262451172e-01 1.790111064910888672e+01
8.965590000152587891e-01 1.792155504226684570e+01
9.042799472808837891e-01 1.794199943542480469e+01
9.143400192260742188e-01 1.829773187637329102e+01
9.222950935363769531e-01 1.793791055679321289e+01
9.277379512786865234e-01 1.795426607131958008e+01
9.341340065002441406e-01 1.795426607131958008e+01
9.406390190124511719e-01 1.783568859100341797e+01
9.508469104766845703e-01 1.786839962005615234e+01
9.618389606475830078e-01 1.788475513458251953e+01
9.731709957122802734e-01 1.795426607131958008e+01
9.791619777679443359e-01 1.793791055679321289e+01
9.888191223144531250e-01 1.793791055679321289e+01
9.997169971466064453e-01 1.793791055679321289e+01
1.011297941207885742e+00 1.792155504226684570e+01
1.022918939590454102e+00 1.792155504226684570e+01
1.029558897018432617e+00 1.787248849868774414e+01
1.033687114715576172e+00 1.788884401321411133e+01
1.041738033294677734e+00 1.792155504226684570e+01
1.047307014465332031e+00 1.786839962005615234e+01
1.059418916702270508e+00 1.787248849868774414e+01
